id,author,year,title,use,ifno_why,where,lat,lon,how,paper_link,who,n_scions,n_rootstock,notes,source_paper_id,source_paper_title,country,country_code
1,"Tedesco, S; Erban, A; Gupta, S; Kopka, J; Fevereiro, P; Kragler, F; Pina, A",2021,The Impact of Metabolic Scion-Rootstock Interactions in Different Grapevine Tissues and Phloem Exudates,yes,,,38.70184954,-9.317264086,guess based on affiliation,,emw,,,,na,na,Portugal,PRT
5,"Zombardo, A; Crosatti, C; Bagnaresi, P; Bassolino, L; Reshef, N; Puccioni, S; Faccioli, P; Tafuri, A; Delledonne, M; Fait, A; Storchi, P; Cattivelli, L; Mica, E",2020,Transcriptomic and biochemical investigations support the role of rootstock-scion interaction in grapevine berry quality,yes,,"CREA - Research Centre for Viticulture and Enology, in Arezzo",43.476667,11.824167,"in paper, converted to decimal",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-020-06795-5,crd,1,2,same author and year as paper id 25,na,na,Italy,ITA
10,"Migicovsky, Z; Cousins, P; Jordan, LM; Myles, S; Striegler, RK; Verdegaal, P; Chitwood, DH",2021,Grapevine rootstocks affect growth-related scion phenotypes,yes,,San Joaquin Valley,37.98460458,-121.864044,took the location of San Joaquin Valley,"https://onlinelibrary.wiley.com/doi/full/10.1002/pld3.324#:~:text=The%20effect%20of%20rootstock%20was,yield%20to%20pruning%20weight%20ratio).",crd,2,15,,na,na,United States,USA
20,"Harbertson, JF; Keller, M",2012,Rootstock Effects on Deficit-Irrigated Winegrapes in a Dry Climate: Grape and Wine Composition,yes,,"Agriculture Research and Extension Center near Prosser, WA",46.294444,-119.743611,"given in companion paper;in paper, converted to decimal",https://www-ajevonline-org.eu1.proxy.openathens.net/content/63/1/40,crd,3,5,,na,na,United States,USA
21,"McKenry, MV; Luvisi, D; Anwar, SA; Schrader, P; Kaku, S",2004,Eight-year nematode study from uniformly designed rootstock trials in fifteen table grape vineyards,yes,,,36.59895176,-119.5136617,guess based on author affiliation,,emw,,,,na,na,United States,USA
24,"Nazir, F; Ahmad, T; Bashir, MA; Rafique, R; Ali, I; Silvestri, C; Rugini, E; Siddiqui, SU",2022,Validation of in vitro grafting using indigenous wild grapevines as rootstock with commercial scion varieties,yes,,"Department of Horticulture, PMAS-Arid Agriculture University, Rawalpindi, 46300, Pakistan",33.65006576,73.08279837,based on author affiliation,https://link.springer.com/article/10.1007/s11738-022-03408-4,crd,2,5,table grapes,na,na,Pakistan,PAK
25,"Zombardo, A; Mica, E; Puccioni, S; Perria, R; Valentini, P; Mattii, GB; Cattivelli, L; Storchi, P",2020,Berry Quality of Grapevine under Water Stress as Affected by Rootstock-Scion Interactions through Gene Expression Regulation,yes,,CREA-VE (Research Centre for Viticulture and Enology),43.476667,11.824167,"in paper, converted to decimal",https://www.mdpi.com/2073-4395/10/5/680,crd,1,2,,na,na,Italy,ITA
47,"Cochetel, N; Meteier, E; Merlin, I; Hevin, C; Pouvreau, JB; Coutos-Thevenot, P; Hernould, M; Vivin, P; Cookson, SJ; Ollat, N; Lauvergeat, V",2018,Potential contribution of strigolactones in regulating scion growth and branching in grafted grapevine in response to nitrogen availability,yes,,"Université de Bordeaux, EGFV",44.77636858,-0.566900272,"they thank the staff of the lab, which is in Bordeaux",https://academic.oup.com/jxb/article/69/16/4099/5025840,crd,1,2,in greenhouse,na,na,France,FRA
50,"Mare, C; Mica, E; Cattivelli, L",2016,Molecular advances in rootstock-scion interaction in grapevine,no,review,,,,,https://www.actahort.org/books/1136/1136_21.htm,crd,,,"review paper, lots of interesting data from different locations",na,na,,
58,"Shi, WC; He, W; Zhang, ZJ; Sun, JL; Zhu, CM; Liu, ZY; Xu, YQ; Zhao, BL",2022,Study on the Resistance of 'Cabernet Sauvignon' Grapevine with Different Rootstocks to Colomerus vitis,yes,," Agricultural College of Shihezi University, Xinjiang, China",44.3104799,86.05648499,took the location of the agricultural college,,crd,1,5,,na,na,China,CHN
