Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Tedesco, S; Erban, A; Gupta, S; Kopka, J; Fevereiro, P; Kragler, F; Pina, A",,,,"Tedesco, Sara; Erban, Alexander; Gupta, Saurabh; Kopka, Joachim; Fevereiro, Pedro; Kragler, Friedrich; Pina, Ana",,,The Impact of Metabolic Scion-Rootstock Interactions in Different Grapevine Tissues and Phloem Exudates,METABOLITES,,,,,,,,,,,,,,,,,,"Tedesco, Sara/0000-0001-7380-5983; Gupta, Saurabh/0000-0002-5984-852X; Kopka, Joachim/0000-0001-9675-4883; Erban, Alexander/0000-0003-1794-588X; Fevereiro, Pedro/0000-0003-1311-8406",,,,,,,,,,,,,,2218-1989,,,,JUN,2021,11,6,,,,,,,349,10.3390/metabo11060349,http://dx.doi.org/10.3390/metabo11060349,,,,,,,,34070718,,,,,WOS:000665886000001,View Full Record in Web of Science
J,"Gautier, AT; Cochetel, N; Merlin, I; Hevin, C; Lauvergeat, V; Vivin, P; Mollier, A; Ollat, N; Cookson, SJ",,,,"Gautier, Antoine T.; Cochetel, Noe; Merlin, Isabelle; Hevin, Cyril; Lauvergeat, Virginie; Vivin, Philippe; Mollier, Alain; Ollat, Nathalie; Cookson, Sarah J.",,,Scion genotypes exert long distance control over rootstock transcriptome responses to low phosphate in grafted grapevine,BMC PLANT BIOLOGY,,,,,,,,,,,,,,,,,"Mollier, Alain/C-6333-2008; Cochetel, Noé/AAI-2719-2020","Mollier, Alain/0000-0002-6261-5284; Cochetel, Noé/0000-0003-3395-9536; Lauvergeat, Virginie/0000-0002-5950-2051; Vivin, Philippe/0000-0003-1629-8107; Cookson, Sarah Jane/0000-0003-2591-192X",,,,,,,,,,,,,1471-2229,,,,,03-Aug,2020,20,1,,,,,,,367,10.1186/s12870-020-02578-y,http://dx.doi.org/10.1186/s12870-020-02578-y,,,,,,,,32746781,,,,,WOS:000560366900004,View Full Record in Web of Science
J,"Barrios-Masias, FH; Knipfer, T; Walker, MA; McElrone, AJ",,,,"Barrios-Masias, Felipe H.; Knipfer, Thorsten; Walker, M. Andrew; McElrone, Andrew J.",,,Differences in hydraulic traits of grapevine rootstocks are not conferred to a common Vitis vinifera scion,FUNCTIONAL PLANT BIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445-4408,1445-4416,,,,,2019,46,3,,,,,228,235,,10.1071/FP18110,http://dx.doi.org/10.1071/FP18110,,,,,,,,32172766,,,,,WOS:000460772700003,View Full Record in Web of Science
J,"Zombardo, A; Crosatti, C; Bagnaresi, P; Bassolino, L; Reshef, N; Puccioni, S; Faccioli, P; Tafuri, A; Delledonne, M; Fait, A; Storchi, P; Cattivelli, L; Mica, E",,,,"Zombardo, A.; Crosatti, C.; Bagnaresi, P.; Bassolino, L.; Reshef, N.; Puccioni, S.; Faccioli, P.; Tafuri, A.; Delledonne, M.; Fait, A.; Storchi, P.; Cattivelli, L.; Mica, E.",,,Transcriptomic and biochemical investigations support the role of rootstock-scion interaction in grapevine berry quality,BMC GENOMICS,,,,,,,,,,,,,,,,,"Bassolino, Laura/AGM-7099-2022; Storchi, Paolo/C-1805-2013; Bassolino, Laura/AGM-7097-2022; Zombardo, Alessandra/AEN-5544-2022; cattivelli, luigi/AAE-7046-2020","Storchi, Paolo/0000-0001-7534-5634; Zombardo, Alessandra/0000-0003-1613-9667; cattivelli, luigi/0000-0002-6067-4600; Delledonne, Massimo/0000-0002-7100-4581; Bagnaresi, Paolo/0000-0001-8466-4805",,,,,,,,,,,,,1471-2164,,,,,08-Jul,2020,21,1,,,,,,,468,10.1186/s12864-020-06795-5,http://dx.doi.org/10.1186/s12864-020-06795-5,,,,,,,,32641089,,,,,WOS:000551959500001,View Full Record in Web of Science
J,"Zhang, XK; Walker, RR; Stevens, RM; Prior, LD",,,,"Zhang, XK; Walker, RR; Stevens, RM; Prior, LD",,,Yield-salinity relationships of different grapevine (Vitis vinifera L.) scion-rootstock combinations,AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,,,,,,,,,,,,,,,,,"Prior, Lynda/A-7460-2012; Walker, Rob R/C-2764-2015; Stevens, Rob/D-9795-2011","Prior, Lynda/0000-0002-5511-2320; ",,,,,,,,,,,,,1322-7130,1755-0238,,,,,2002,8,3,,,,,150,156,,10.1111/j.1755-0238.2002.tb00250.x,http://dx.doi.org/10.1111/j.1755-0238.2002.tb00250.x,,,,,,,,,,,,,WOS:000179195800001,View Full Record in Web of Science
J,"Dry, IB; Davies, C; Dunlevy, JD; Smith, HM; Thomas, MR; Walker, AR; Walker, RR; Clingeleffer, PR",,,,"Dry, I. B.; Davies, C.; Dunlevy, J. D.; Smith, H. M.; Thomas, M. R.; Walker, A. R.; Walker, R. R.; Clingeleffer, P. R.",,,"Development of new wine-, dried- and tablegrape scions and rootstocks for Australian viticulture: past, present and future",AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,,,,,,,,,,,,,,,,,,"Dunlevy, Jake/0000-0002-8181-6778; davies, Christopher/0000-0002-4942-9540",,,,,,,,,,,,,1322-7130,1755-0238,,,,APR,2022,28,2,,,SI,,177,195,,10.1111/ajgw.12552,http://dx.doi.org/10.1111/ajgw.12552,,Mar-22,,,,,,,,,,,WOS:000766212900001,View Full Record in Web of Science
J,"Vink, SN; Dini-Andreote, F; Hofle, R; Kicherer, A; Salles, JF",,,,"Vink, Stefanie Nicoline; Dini-Andreote, Francisco; Hoefle, Rebecca; Kicherer, Anna; Salles, Joana Falcao",,,Interactive Effects of Scion and Rootstock Genotypes on the Root Microbiome of Grapevines (Vitis spp. L.),APPLIED SCIENCES-BASEL,,,,,,,,,,,,,,,,,"Dini-Andreote, Francisco/M-6176-2017; Falcao Salles, Joana/A-7313-2008; Salles, Joana Falcao/AAG-7070-2020","Dini-Andreote, Francisco/0000-0002-6654-0769; Falcao Salles, Joana/0000-0003-4317-7263; Salles, Joana Falcao/0000-0003-4317-7263; Vink, Stefanie/0000-0002-3215-5491",,,,,,,,,,,,,,2076-3417,,,,FEB,2021,11,4,,,,,,,1615,10.3390/app11041615,http://dx.doi.org/10.3390/app11041615,,,,,,,,,,,,,WOS:000632111300001,View Full Record in Web of Science
J,"Grant, RS; Matthews, MA",,,,"Grant, RS; Matthews, MA",,,"The influence of phosphorus availability, scion, and rootstock on grapevine shoot growth, leaf area, and petiole phosphorus concentration",AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,,,,,,,,,,,,,,,,,"Matthews, Mark A/A-5714-2010",,,,,,,,,,,,,,0002-9254,,,,,,1996,47,2,,,,,217,224,,,,,,,,,,,,,,,,WOS:A1996UQ73400015,View Full Record in Web of Science
J,"Migicovsky, Z; Cousins, P; Jordan, LM; Myles, S; Striegler, RK; Verdegaal, P; Chitwood, DH",,,,"Migicovsky, Zoe; Cousins, Peter; Jordan, Lindsay M.; Myles, Sean; Striegler, Richard Keith; Verdegaal, Paul; Chitwood, Daniel H.",,,Grapevine rootstocks affect growth-related scion phenotypes,PLANT DIRECT,,,,,,,,,,,,,,,,,,"Migicovsky, Zoe/0000-0002-3931-1258; Chitwood (he/him), Dan/0000-0003-4875-1447",,,,,,,,,,,,,,2475-4455,,,,MAY,2021,5,5,,,,,,,e00324,10.1002/pld3.324,http://dx.doi.org/10.1002/pld3.324,,,,,,,,34095741,,,,,WOS:000655474900002,View Full Record in Web of Science
J,"Bascunan-Godoy, L; Franck, N; Zamorano, D; Sanhueza, C; Carvajal, DE; Ibacache, A",,,,"Bascunan-Godoy, Luisa; Franck, Nicolas; Zamorano, Denisse; Sanhueza, Carolina; Carvajal, Danny Eduardo; Ibacache, Antonio",,,Rootstock effect on irrigated grapevine yield under arid climate conditions are explained by changes in traits related to light absorption of the scion,SCIENTIA HORTICULTURAE,,,,,,,,,,,,,,,,,"Sanhueza, Carolina/AAG-7456-2019; Franck, Nicolas/GWZ-4383-2022; Bascunan-Godoy, Luisa/H-7357-2015; Godoy, Luisa Bascunan/AAF-2978-2019","Franck, Nicolas/0000-0002-2894-5108; Bascunan-Godoy, Luisa/0000-0001-8346-7295; Godoy, Luisa Bascunan/0000-0001-8346-7295; Carvajal, Danny/0000-0003-3216-8329; Zamorano, Denisse/0000-0002-2981-2112",,,,,,,,,,,,,0304-4238,1879-1018,,,,14-Apr,2017,218,,,,,,284,292,,10.1016/j.scienta.2017.02.034,http://dx.doi.org/10.1016/j.scienta.2017.02.034,,,,,,,,,,,,,WOS:000398648000036,View Full Record in Web of Science
